93094,Helium3,R42-HS,
93096,Tritium,R42-HS,
93097,Tritium,R42-HS,
93100,Helium3,R42-HS,
93103,Helium3,R42-HS,
93105,Tritium,R42-HS,
93106,Tritium,R42-HS,
93109,Helium3,R42-HS,
93115,Helium3,R42-HS,
93116,Tritium,R42-HS,
93117,Tritium,R42-HS,
93118,Tritium,R42-HS,
93121,Helium3,R42-HS,
93045,Tritium,R42-PK,
93051,Tritium,R42-PK,
93052,Helium3,R42-PK,
93057,Helium3,R42-PK,
93058,Tritium,R42-PK,
93059,Tritium,R42-PK,
93060,Helium3,R42-PK,
93064,Helium3,R42-PK,
93065,Tritium,R42-PK,
93071,Tritium,R42-PK,
93076,Helium3,R42-PK,
93078,Tritium,R42-PK,
93079,Tritium,R42-PK,
93084,Helium3,R42-PK,
93089,Helium3,R42-PK,
93091,Tritium,R42-PK,
93126,Helium3,R42-LS,
93127,Tritium,R42-LS,
93132,Helium3,R42-LS,
93133,Tritium,R42-LS,
93134,Tritium,R42-LS,
93136,Helium3,R42-LS,
93140,Helium3,R42-LS,
93141,Tritium,R42-LS,
93145,Tritium,R42-LS,
93147,Helium3,R42-LS,
93148,Tritium,R42-LS,
891,Empty Cell,L17-PK,
894,Hydrogen,L17-PK,
895,Hydrogen,L17-PK,
911,Tritium,L17-PK,
912,Helium3,L17-PK,
923,Deuterium,L17-PK,
933,Tritium,L22-PK,
934,Helium3,L22-PK,
935,Empty Cell,L22-PK,
936,Dummy,L22-PK,
938,Dummy,L22-PK,
941,Hydrogen,L22-PK,
942,Deuterium,L22-PK,
943,Deuterium,L22-PK,
944,Deuterium,L22-PK,
945,Deuterium,L22-Delta,
946,Tritium,L22-Delta,
947,Helium3,L22-Delta,
